Compliance_Breaches,Time_to_Compliance_Days,Training_Completion_Rate,Audit_Findings,Audit_Score,Fines_Penalties_Amount,Incident_Response_Time_Minutes,Suspicious_Activity_Reports,Regulatory_Change_Impact_Score,Department,Employee_ID,Location,Quarter,Year,Compliance_Manager,Training_Session_Attended,Audit_Type,Regulation_ID
5,281,73.42047725,19,53.18616633,8029.316736,26,3,9.616739379,Operations,3367,CHI,,,Manager_A,No,Internal,
4,,94.26414145,19,92.29809763,3399.440133,38,3,7.978956668,Operations,1769,ATL,Q2,2022,Manager_C,,External,185
,226,68.07951332,10,80.37391973,903.0424659,16,,2.34257243,Operations,1882,ATL,Q2,2021,Manager_A,No,External,103
5,222,96.62252105,17,69.02222259,2678.048723,8,3,1.687043129,IT,4063,LA,Q3,2023,Manager_A,No,Internal,101
5,21,81.53042358,0,52.82573122,,25,3,3.773746843,HR,1450,ATL,Q3,2020,Manager_B,Yes,Internal,166
3,130,96.70776719,11,83.88368874,2662.453722,39,3,6.617633764,Finance,3943,NY,,,Manager_B,Yes,External,129
5,102,87.85833127,17,66.41008753,5962.375676,32,3,6.548920202,Finance,2102,LA,Q3,,Manager_A,Yes,External,103
4,206,55.17175833,6,73.38881325,3538.398151,,1,3.482651126,Finance,1742,NY,Q4,2023,Manager_A,Yes,Internal,147
6,200,,11,84.08642185,1380.237586,9,2,,HR,3404,SF,Q1,2019,,,External,142
,201,69.70852273,0,95.58872735,7951.866709,,3,,Operations,4190,NY,Q4,2019,Manager_C,No,External,192
2,161,,3,91.27184578,439.8598496,36,0,1.455208167,Finance,2609,SF,Q1,2022,Manager_A,Yes,Internal,144
5,167,74.74558024,17,72.52985646,3721.04759,16,1,5.652734207,HR,2544,,Q2,2022,Manager_C,No,External,196
5,178,73.56840779,14,,1171.597819,,1,4.122920208,IT,4350,SF,Q3,,Manager_B,No,External,112
,155,97.8129599,2,61.98898694,347.1021101,28,3,5.885941891,HR,3829,SF,Q2,2023,Manager_B,Yes,External,146
,226,,6,68.62133756,3495.161692,60,2,,IT,3613,LA,Q4,2023,Manager_A,Yes,External,195
6,115,89.28134021,5,55.55231936,,8,3,2.290332805,HR,2915,CHI,Q4,2023,Manager_B,Yes,External,127
6,133,97.09552724,14,98.55527542,6136.222538,43,1,1.017658165,IT,4116,CHI,Q4,2022,Manager_A,Yes,External,136
